rank,total_error_pct,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,π_к_полн,η_к_полн,err_π_к_pct,err_η_к_pct
76,7.712394684338387,0.4,0.5,0.55,0.25,0.15,17.964233317379662,0.8262335934315348,1.295421333078775,6.416973351259611
77,7.730849583469554,0.45,0.4,0.6,0.25,0.22,18.295222488257544,0.8192528097648016,0.5232004849315621,7.207649098537992
78,7.741687905667106,0.35,0.55,0.45,0.25,0.2,18.45364914108553,0.826842451258227,1.3936765993710547,6.348011306296051
79,7.741737310322532,0.55,0.45,0.4,0.3,0.21,18.389729052833548,0.8237412294616505,1.0424673232612578,6.699269987061274
80,7.74760805232817,0.5,0.5,0.55,0.25,0.24,18.429055283441457,0.8255971264278926,1.2585455134146024,6.489062538913568
81,7.757308101369567,0.6,0.5,0.35,0.3,0.22,18.066013324665175,0.8208996747401257,0.736190523817718,7.02111757755185
82,7.781184939180171,0.5,0.6,0.4,0.25,0.18,18.241629994873655,0.8162086143918282,0.22873623556953748,7.552448703610633
83,7.788749653688917,0.55,0.6,0.4,0.25,0.16,18.158552434218393,0.8161329767140649,0.22773387792091346,7.561015775768004
84,7.808439169731837,0.5,0.6,0.4,0.25,0.2,18.151159698680377,0.8163177644406497,0.2683533039539666,7.540085865777871
85,7.825315361530887,0.5,0.55,0.45,0.25,0.19,18.462900665017873,0.826552908863099,1.4445091484498562,6.380806213081031
86,7.831894780671819,0.35,0.4,0.6,0.25,0.21,18.31665079540796,0.8194001881384134,0.6409384363074717,7.190956344364348
87,7.838339762313459,0.6,0.6,0.4,0.25,0.16,18.244397927558243,0.8158382745179955,0.2439446569134262,7.594395105400033
88,7.84485035283492,0.45,0.45,0.4,0.3,0.16,17.986356360085313,0.8239909613710769,1.1738661533773953,6.670984199457525
89,7.853259044702971,0.6,0.5,0.55,0.25,0.23,17.947790080398438,0.8257875855926585,1.3857687890195698,6.4674902556834
90,7.876038881397323,0.35,0.45,0.4,0.3,0.2,17.983412820959863,0.8238583936032918,1.1900394452754732,6.68599943612185
91,7.886718629089515,0.6,0.55,0.45,0.25,0.2,17.920662122321176,0.8268081614741056,1.534823503729801,6.351895125359714
92,7.887652619155844,0.55,0.45,0.6,0.25,0.17,17.997739568529184,0.8230608617872314,1.1113210520374472,6.776331567118396
93,7.9170309422987435,0.55,0.55,0.45,0.25,0.23,17.911210022652018,0.8269990622342376,1.5867581172966023,6.330272825002141
94,7.930450635190697,0.35,0.5,0.55,0.25,0.25,18.466959516229927,0.8258215781097451,1.4668105287358686,6.463640106454828
95,7.9446373639227605,0.5,0.5,0.5,0.25,0.16,18.579135332125638,0.8311380128031497,2.083161165525488,5.861476198397273
96,7.952216768360873,0.55,0.5,0.55,0.25,0.16,18.46243275529333,0.8254098127264519,1.4419382158974303,6.510278552463443
97,7.954001566302431,0.4,0.5,0.55,0.25,0.16,17.919254438003296,0.8262824155468605,1.5425580329489175,6.411443533353513
98,7.954512344750468,0.35,0.55,0.45,0.25,0.19,18.491528732146218,0.8268010012605211,1.6018062205836199,6.352706124166849
99,7.957298121044008,0.5,0.45,0.6,0.25,0.19,18.408866919026458,0.8227664527976402,1.1476204342113128,6.809677686832695
100,7.957592246101891,0.45,0.5,0.35,0.3,0.16,18.040397385008276,0.8203740275591096,0.8769374450094665,7.080654801092424
101,7.976030083333686,0.6,0.6,0.4,0.25,0.18,18.127656717946138,0.8159782616035115,0.3974905607355011,7.578539522598185
102,7.987479302085345,0.45,0.4,0.6,0.25,0.21,18.34088561733432,0.8192021902027797,0.7740967985402175,7.213382503545127
103,7.989399720000182,0.5,0.5,0.55,0.25,0.23,18.472126064911354,0.8255517546018429,1.4951981588535967,6.494201561146584
104,8.04018131022255,0.5,0.6,0.4,0.25,0.21,18.107903037336417,0.816370135811366,0.5060272673823206,7.534154042840228
105,8.041098185889433,0.55,0.45,0.4,0.3,0.2,18.44310394318916,0.8236874417235435,1.335735951588802,6.705362234300631
106,8.042618961073927,0.6,0.5,0.35,0.3,0.23,18.012990005935574,0.8209528780869886,1.0275274399144243,7.015091521159503
107,8.044978143214879,0.35,0.6,0.4,0.25,0.15,18.10056055902974,0.8166839712985283,0.546370554781637,7.4986075884332415
108,8.047290806955482,0.5,0.6,0.4,0.25,0.17,18.288890108412165,0.8161518012866247,0.488407189077833,7.55888361787765
109,8.065150007954932,0.35,0.4,0.6,0.25,0.2,18.358151966070896,0.819354041182221,0.8689668465433864,7.196183161411544
110,8.071276643564088,0.55,0.6,0.4,0.25,0.17,18.105820528387124,0.8161966219813698,0.5174696242465683,7.553807019317521
111,8.08094553545481,0.35,0.5,0.5,0.25,0.23,18.60836861299761,0.8313526804791558,2.243783587898953,5.837161947555855
112,8.081748247073174,0.6,0.45,0.35,0.3,0.17,18.173404548931412,0.8128256451866088,0.14612885202520493,7.9356193950479685
113,8.082978674653154,0.35,0.45,0.4,0.3,0.21,17.94491689601931,0.8238987970249884,1.4015555163774067,6.681423158275747
114,8.094989807174295,0.5,0.55,0.45,0.25,0.18,18.510905417960622,0.8265007119166831,1.708271527256168,6.386718279918127
